Ordre;Region;Famille;Type;Caractère;PubMed;Femelle;M.F;No;BothM
9;SSC1:110;Meat_and_Carcass_Association;traitType=Meatcolor;trait=Meat color b*;22688438;0;5;0;0
10;SSC1:110;Meat_and_Carcass_Association;traitType=Meatcolor;trait=Meat color L*;22688438;0;5;0;0
11;SSC1:110;Meat_and_Carcass_Association;traitType=Meatcolor;trait=Meat color score;22688438;0;5;0;0
33;SSC1:253;Production_Association;traitType=Growth;trait=Average daily gain;26418247;0;5;0;0
52;SSC10:23;Production_Association;traitType=Growth;trait=Average daily gain;30869175;0;5;0;0
61;SSC10:62;Meat_and_Carcass_Association;traitType=Meatcolor;trait=Meat color a*;28054563;0;5;0;0
80;SSC11:7;Production_Association;traitType=feedconversion;trait=feed conversion ratio;30237295;0;5;0;0
96;SSC13:191;Production_Association;traitType=Growth;trait=Average daily gain;31024621;0;5;0;0
115;SSC16:69;Production_Association;traitType=feedconversion;trait=feed conversion ratio;28604785;0;5;0;0
117;SSC16:69;Production_Association;traitType=Growth;trait=Average daily gain;24663154;0;5;0;0
128;SSC17:1;Production_Association;traitType=Growth;trait=Average daily gain;24663154;0;5;0;0
141;SSC17:43;Production_Association;traitType=feedconversion;trait=feed conversion ratio;28604785;0;5;0;0
143;SSC17:43;Production_Association;traitType=Growth;trait=Average daily gain;27809465;0;5;0;0
153;SSC17:60;Meat_and_Carcass_Association;traitType=Meatcolor;trait=Meat color score;18717966;0;5;0;0
154;SSC17:60;Meat_and_Carcass_Association;traitType=Meatcolor;trait=Meat color-L;18717966;0;5;0;0
155;SSC17:60;Meat_and_Carcass_Association;traitType=Meatcolor;trait=Reflectance value;18717966;0;5;0;0
158;SSC17:60;Production_Association;traitType=feedconversion;trait=feed conversion ratio;29971093;0;5;0;0
170;SSC18:10;Production_Association;traitType=Growth;trait=Average daily gain;30869175;0;5;0;0
171;SSC18:10;Production_Association;traitType=Growth;trait=Body weight;30869175;0;5;0;0
188;SSC2:1;Production_Association;traitType=Growth;trait=Average daily gain;30308042;0;5;0;0
206;SSC2:145;Production_Association;traitType=feedconversion;trait=feed conversion ratio;28604785;0;5;0;0
207;SSC2:145;Production_Association;traitType=Growth;trait=Average daily gain;25885760;0;5;0;0
224;SSC2:151;Production_Association;traitType=Growth;trait=Body weight;28890999;0;5;0;0
238;SSC2:45;Production_Association;traitType=Growth;trait=Body weight (150 days);29522525;0;5;0;0
247;SSC3:3;Production_Association;traitType=Growth;trait=Average daily gain;31024621;0;5;0;0
264;SSC4:18;Production_Association;traitType=feedconversion;trait=feed conversion ratio;28604785;0;5;0;0
277;SSC5:94;Production_Association;traitType=Growth;trait=Average daily gain;24663154;0;5;0;0
287;SSC6:13;Meat_and_Carcass_Association;traitType=pH;trait=pH 24 hr post mortem (ham);24643240;0;5;0;0
288;SSC6:13;Production_Association;traitType=Growth;trait=Average daily gain;21107721;0;5;0;0
306;SSC6:72;Meat_and_Carcass_Association;traitType=Meatcolor;trait=Meat color b*;101;0;5;0;0
309;SSC6:72;Production_Association;traitType=Growth;trait=Average daily gain;30869175;0;5;0;0
333;SSC7:18;Production_Association;traitType=Growth;trait=Average daily gain;31024621;0;5;0;0
334;SSC7:18;Production_Association;traitType=Growth;trait=Body weight;30869175;0;5;0;0
346;SSC7:85;Meat_and_Carcass_Association;traitType=Meatcolor;trait=Meat color b*;25962760;0;5;0;0
368;SSC8:80;Meat_and_Carcass_Association;traitType=Meatcolor;trait=Meat color a*;24643240;0;5;0;0
369;SSC8:80;Production_Association;traitType=feedconversion;trait=feed conversion ratio;23296815;0;5;0;0
378;SSC9:101;Production_Association;traitType=Growth;trait=Average daily gain;29059722;0;5;0;0
393;SSC9:19;Production_Association;traitType=feedconversion;trait=feed conversion ratio;30237295;0;5;0;0
316;SSC7:18;Exterior_Association;traitType=conformation;trait=Conformation score;28118822;0;1;0;0
29;SSC1:253;Exterior_Association;traitType=conformation;trait=Hind leg conformation;21383979;0;1;0;0
74;SSC11:7;Exterior_Association;traitType=conformation;trait=Hind leg conformation;19284518;0;1;0;0
102;SSC16:69;Exterior_Association;traitType=conformation;trait=Hind leg conformation;21383979;0;1;0;0
122;SSC17:1;Exterior_Association;traitType=conformation;trait=Hind feet conformation;21383979;0;1;0;0
133;SSC17:43;Exterior_Association;traitType=conformation;trait=Hind feet conformation;21383979;0;1;0;0
134;SSC17:43;Exterior_Association;traitType=conformation;trait=Hind leg conformation;21383979;0;1;0;0
146;SSC17:60;Exterior_Association;traitType=conformation;trait=Hind leg conformation;19284518;0;1;0;0
191;SSC2:145;Exterior_Association;traitType=conformation;trait=Front leg conformation;19284518;0;1;0;0
227;SSC2:45;Exterior_Association;traitType=conformation;trait=Front leg conformation;19284518;0;1;0;0
228;SSC2:45;Exterior_Association;traitType=conformation;trait=Hind leg conformation;19284518;0;1;0;0
239;SSC3:124;Exterior_Association;traitType=conformation;trait=Hind leg conformation;21383979;0;1;0;0
252;SSC4:18;Exterior_Association;traitType=conformation;trait=Front feet conformation;19284518;0;1;0;0
255;SSC4:18;Exterior_Association;traitType=conformation;trait=Hind leg conformation;21383979;0;1;0;0
280;SSC6:13;Exterior_Association;traitType=conformation;trait=Front leg conformation;21383979;0;1;0;0
336;SSC7:85;Exterior_Association;traitType=conformation;trait=Front leg conformation;21383979;0;1;0;0
351;SSC8:124;Exterior_Association;traitType=conformation;trait=Hind feet conformation;19284518;0;1;0;0
358;SSC8:80;Exterior_Association;traitType=conformation;trait=Front leg conformation;21383979;0;1;0;0
373;SSC9:101;Exterior_Association;traitType=conformation;trait=Front leg conformation;21383979;0;1;0;0
173;SSC2:1;Exterior_Association;traitType=conformation;trait=Gait score (overall);21383979;0;1;0;0
192;SSC2:145;Exterior_Association;traitType=conformation;trait=Gait score (overall);19284518;0;1;0;0
253;SSC4:18;Exterior_Association;traitType=conformation;trait=Gait score (overall);19284518;0;1;0;0
289;SSC6:72;Exterior_Association;traitType=conformation;trait=Gait score (overall);19519793;0;1;0;0
381;SSC9:107;Exterior_Association;traitType=conformation;trait=Gait score (overall);21383979;0;1;0;0
5;SSC1:110;Meat_and_Carcass_Association;traitType=Anatomy;trait=Lean meat percentage;28831160;0;0;0;5
21;SSC1:230;Meat_and_Carcass_Association;traitType=Anatomy;trait=Dressing percentage;29978910;0;0;0;5
31;SSC1:253;Meat_and_Carcass_Association;traitType=Anatomy;trait=Dressing percentage;29978910;0;0;0;5
